DRG Code,DRG Description,ICD-10 Code,ICD-10 Description,Notes,Remarks,Is Active
DENT04C,Amalgam Filling <12 Yrs,,,,,TRUE
DENT05A,Composite/GI Filling >=12 Yrs,,,,,TRUE
DENT05A,Abrasion Of Teeth,,,,,TRUE
DENT05C,Composite/GI Filling <12 Yrs,,,,,TRUE
DENT06A,Scaling & Polishing >=12 Yrs,K03.6,Deposits [accretions] on teeth,,,TRUE
DENT06A,Gingivitis And Periodontal Diseases,K03.6,Deposits [accretions] on teeth,,,TRUE
DENT06A,Scaling & Polishing >=12 Yrs,K05.6,"Periodontal disease, unspecified",,,TRUE
DENT06A,Gingivitis And Periodontal Diseases,K05.6,"Periodontal disease, unspecified",,,TRUE
DENT06C,Scaling & Polishing <12 Yrs,,,,,TRUE
DENT07A,Gingivectomy >=12 Yrs,,,,,TRUE
DENT07A,Chronic Gingivitis,,,,,TRUE
DENT07C,Gingivectomy <12 Yrs,,,,,TRUE
DENT08A,Root Canal Therapy - Single Root (RCT) >=12 Yrs,,,,,TRUE
DENT08A,Pulpitis,,,,,TRUE
DENT08C,Root Canal Therapy - Single Root (RCT) <12 Yrs,,,,,TRUE
DENT09A,Apicectomy >=12 Yrs,,,,,TRUE
DENT09A,Radicular Cyst,,,,,TRUE
DENT09C,Apicectomy <12 Yrs,,,,,TRUE
DENT10A,Incision and Drainage (I & D) of Oro-Facial Abscess >=12 Yrs,,,,,TRUE
DENT10A,Periapical Abscess Without Sinus,,,,,TRUE
DENT10C,Incision and Drainage (I & D) of Oro-Facial Abscess <12 Yrs,,,,,TRUE
DENT11A,Surgical Excision of Intraoral Lesions >=12 Yrs,,,,,TRUE
DENT11A,Other Disease Of Jaws,,,,,TRUE
DENT11C,Surgical Excision of Intraoral Lesions <12 Yrs,,,,,TRUE
DENT12A,Curetage/Sequestrectomy of Facial Bone >=12 Yrs,,,,,TRUE
DENT12A,Alveolitis Of Jaws,,,,,TRUE
DENT12C,Curetage/Sequestrectomy of Facial Bone <12 Yrs,,,,,TRUE
DENT13A,Removal of Stone from Salivary Duct >=12 Yrs,,,,,TRUE
DENT13A,Sialolithiasis,,,,,TRUE
DENT13C,Removal of Stone from Salivary Duct <12 Yrs,,,,,TRUE
DENT14A,Sialoadenectomy >=12 Yrs,,,,,TRUE
DENT14A,Sialoadenitis,,,,,TRUE
DENT14C,Sialoadenectomy <12 Yrs,D11.9,"Benign neoplasm: Major salivary gland, unspecified",,,TRUE
DENT14C,Sialoadenectomy <12 Yrs,K11.6,Mucocele of salivary gland,,,TRUE
DENT15A,Suturing of Lacerations of Facial Region >=12 Yrs,,,,,TRUE
DENT15A,Dislocation Of Tooth,,,,,TRUE
DENT15C,Suturing of Lacerations of Facial Region <12 Yrs,,,,,TRUE
DENT16A,Dressing of Open Facial Wounds >=12 Yrs,T14.1,Open wound of unspecified body region,,,TRUE
DENT16A,Open Wound Of Unspecified Body Region,T14.1,Open wound of unspecified body region,,,TRUE
DENT16C,Dressing of Open Facial Wounds <12 Yrs,T14.1,Open wound of unspecified body region,,,TRUE
DENT17A,Frenectomy/Frenotomy >=12 Yrs,Q38.1,Ankyloglossia,,,TRUE
DENT17A,Ankyloglossia(Tongue Tie),Q38.1,Ankyloglossia,,,TRUE
DENT17C,Frenectomy/Frenotomy <12 Yrs,Q38.1,Ankyloglossia,,,TRUE
DENT18A,Partial Resection of Facial Bones or Soft Tissues >=12 Yrs,D48.0,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,,,TRUE
DENT18A,Tumour Of Bone And Articular Cartilage,D48.0,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,,,TRUE
DENT18C,Partial Resection of Facial Bones or Soft Tissues <12 Yrs,D48.0,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,,,TRUE
DENT19A,Total Resection of Facial Bones and Soft Tissues >=12 Yrs,D48.9,"Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified",,,TRUE
DENT19A,Neoplasm Of Uncertain Or Unknown Behaviour,D48.9,"Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified",,,TRUE
DENT19C,Total Resection of Facial Bones and Soft Tissues <12 Yrs,D48.9,"Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified",,,TRUE
DENT20A,Closed Reduction of Fractures of Facial Bones (IMF) >=12 Yrs,,,,,TRUE
DENT20A,Fracture Of Skull And Facial Bones,,,,,TRUE
DENT20C,Closed Reduction of Fractures of Facial Bones (IMF) <12 Yrs,,,,,TRUE
DENT21A,Open Reduction of Facial Fractures >=12 Yrs,S02.7,Multiple fractures involving skull and facial bones,,,TRUE
DENT21A,Multiple Fractures Involving Skull And Facial Bones,S02.7,Multiple fractures involving skull and facial bones,,,TRUE
DENT21C,Open Reduction of Facial Fractures <12 Yrs,S02.7,Multiple fractures involving skull and facial bones,,,TRUE
DENT22A,Removal of Dental Wiring >=12 Yrs,,,,,TRUE
DENT22A,Fracture Of Skull And Facial Bones,,,,,TRUE
DENT22C,Removal of Dental Wiring <12 Yrs,,,,,TRUE
DENT23A,Manual Reduction of TMJ Dislocation >=12 Yrs,,,,,TRUE
DENT23A,Dislocation Of Jaw,,,,,TRUE
DENT23C,Manual Reduction of TMJ Dislocation <12 Yrs,,,,,TRUE
DENT24A,Dental Examination (Medical Management) >=12 Yrs,D69.9,"Haemorrhagic condition, unspecified",,,TRUE
DENT24A,Haemorrhagic Condition,D69.9,"Haemorrhagic condition, unspecified",,,TRUE
DENT24C,Dental Examination (Medical Management) <12 Yrs,D69.9,"Haemorrhagic condition, unspecified",,,TRUE
ENTH01A,"Excision and biopsy of swellings of ear, nose and throat >=12 Yrs",,,,,TRUE
ENTH01A,Preauricular Sinus And  Cyst,,,,,TRUE
ENTH01C,"Excision and biopsy of swellings of ear, nose and throat <12 Yrs",,,,,TRUE
ENTH02A,Surgery for external ear lesions >=12 Yrs,,,,,TRUE
ENTH02A,Other And Unspecified Injuries Of Head,,,,,TRUE
ENTH02C,Surgery for external ear lesions <12 Yrs,,,,,TRUE
ENTH05A,Surgery for internal ear lesions >=12 Yrs,,,,,TRUE
ENTH05A,Acquired Stenosis Of External Ear Canal,,,,,TRUE
ENTH05C,Surgery for internal ear lesions <12 Yrs,,,,,TRUE
ENTH06A,Reconstructive Surgery of ear >=12 Yrs,,,,,TRUE
ENTH06A,Congenital Malformation Of Ear Causing Impairment Of Hearing,,,,,TRUE
ENTH06C,Reconstructive Surgery of ear <12 Yrs,,,,,TRUE
ENTH07A,Sinus Surgery >=12 Yrs,,,,,TRUE
ENTH07A,Mastoiditis,,,,,TRUE
ENTH07C,Sinus Surgery <12 Yrs,,,,,TRUE
ENTH08A,Surgery of tonsils and adenoids >=12 Yrs,,,,,TRUE
ENTH08A,Obstructive Sleep Apnoea,,,,,TRUE
ENTH08C,Surgery of tonsils and adenoids <12 Yrs,,,,,TRUE
ENTH09A,Surgery of Salivary Glands >=12 Yrs,,,,,TRUE
ENTH09A,"Neoplasm Of Lip, Oral And Pharynx",,,,,TRUE
ENTH09C,Surgery of Salivary Glands <12 Yrs,,,,,TRUE
ENTH10A,Laryngectomy >=12 Yrs,,,,,TRUE
ENTH10A,Open Wound Of Neck,,,,,TRUE
ENTH10C,Laryngectomy <12 Yrs,,,,,TRUE
ENTH12A,Excision and Reconstruction of Oro- and Naso-pharynx >=12 Yrs,,,,,TRUE
ENTH12A,Oropharyngeal Mass,,,,,TRUE
ENTH12C,Excision and Reconstruction of Oro- and Naso-pharynx <12 Yrs,,,,,TRUE
ENTH13A,"Examination under anaesthesia and removal of foreign body in Ear, Nose and
Throat >=12 Yr",,,,,TRUE
ENTH13A,Foreign Body In The Ear,,,,,TRUE
ENTH13C,"Examination under anaesthesia and removal of foreign body in Ear, Nose and
Throat <12 Yr",,,,,TRUE
ENTH14A,"Incision and Drainage of Abscess of ear, nose and throat >=12 Yrs",J39.0,Retropharyngeal and parapharyngeal abscess,,,TRUE
ENTH14A,Retropharyngeal And Parapharyngeal Abscess,J39.0,Retropharyngeal and parapharyngeal abscess,,,TRUE
ENTH14C,"Incision and Drainage of Abscess of ear, nose and throat <12 Yrs",J39.0,Retropharyngeal and parapharyngeal abscess,,,TRUE
ENTH15A,Manipulation and reduction of fractured nasal bone >=12 Yrs,,,,,TRUE
ENTH15A,Fractured Nasal Bone,,,,,TRUE
ENTH15C,Manipulation and reduction of fractured nasal bone <12 Yrs,,,,,TRUE
ENTH16A,Specific nasal surgery >=12 Yrs,,,,,TRUE
ENTH16A,Deviated Nasal Septum,,,,,TRUE
ENTH16C,Specific nasal surgery <12 Yrs,J34.2,Deviated nasal septum,,,TRUE
ENTH16C,Specific nasal surgery <12 Yrs,J34.3,Hypertrophy of nasal turbinates,,,TRUE
ENTH16C,Specific nasal surgery <12 Yrs,M95.0,Acquired deformity of nose,,,TRUE
ENTH16C,Specific nasal surgery <12 Yrs,Q30.0,Choanal atresia,,,TRUE
ENTH17A,Arterial Ligation for Epistaxis >=12 Yrs,R04.0,Epistaxis,,,TRUE
ENTH17A,Epistaxis,R04.0,Epistaxis,,,TRUE
ENTH17C,Arterial Ligation for Epistaxis <12 Yrs,R04.0,Epistaxis,,,TRUE
ENTH18A,"Surgery for trauma to ear, nose, throat >=12 Yrs",,,,,TRUE
ENTH18A,Open Wound Involving Pharynx And Cervical Oesophagus,,,,,TRUE
ENTH18C,"Surgery for trauma to ear, nose, throat <12 Yrs",,,,,TRUE
ENTH19A,Excision biopsy of swellings of neck >=12 Yrs,,,,,TRUE
ENTH19A,Thyroglossal Cyst,,,,,TRUE
ENTH19C,Excision biopsy of swellings of neck <12 Yrs,,,,,TRUE
ENTH20A,ENT OPD Procedures >=12 Yrs,,,,,TRUE
ENTH20A,Impacted Cerumen (Wax In Ear),,,,,TRUE
ENTH20C,ENT OPD Procedures <12 Yrs,,,,,TRUE
ENTH21A,Vestibulometry >=12 Yrs,,,,,TRUE
ENTH21A,Dizziness And Giddiness,,,,,TRUE
ENTH21C,Vestibulometry <12 Yrs,,,,,TRUE
ENTH22A,Evoked response audiometry >=12 Yrs,,,,,TRUE
ENTH22A,Other Hearing Loss,,,,,TRUE
ENTH22C,Evoked response audiometry <12 Yrs,,,,,TRUE
ENTH23A,Antral Lavage under Local Anaesthesia >=12 Yrs,,,,,TRUE
ENTH23A,Chronic Sinusitis,,,,,TRUE
ENTH23C,Antral Lavage under Local Anaesthesia <12 Yrs,,,,,TRUE
ENTH24A,Endoscopic ENT Surgery >=12 Yrs,,,,,TRUE
ENTH24A,Other Disorders Of Nose And Nasal Sinuses,,,,,TRUE
ENTH24C,Endoscopic ENT Surgery <12 Yrs,,,,,TRUE
INVE01D,2 Hour Post Prandial Blood Glucose,,,,,TRUE
INVE01E,Serum Adrenocorticotropic Hormone (ACTH),,,,,TRUE
INVE02D,24hr Urine for Protein,,,,,TRUE
INVE02E,Serum Albumin,,,,,TRUE
INVE03D,Alanine Aminotransferase (ALT),,,,,TRUE
INVE03E,Serum Alkalne Phosphatase (ALP),,,,,TRUE
INVE04D,Alpha Amylase (Serum/Urine),,,,,TRUE
INVE04E,Serum Beta-Human Chorionic Gonadotropin (HCG),,,,,TRUE
INVE05D,Alpha-Fetoprotein (AFP),,,,,TRUE
INVE05E,Serum Calcium,,,,,TRUE
INVE06D,Ap-Prothrombin Time,,,,,TRUE
INVE06E,Serum Creatinine,,,,,TRUE
INVE07D,Arterial Blood Gas (ABG),,,,,TRUE
INVE07E,"Serum Electrolyte (Na+, K+)",,,,,TRUE
INVE08D,Aspartate Aminotransferase (AST),,,,,TRUE
INVE08E,Serum Ferritin,,,,,TRUE
INVE09D,B/F for Malaria Parasites,,,,,TRUE
INVE09E,Serum Iron (Fe),,,,,TRUE
INVE100,Acid Phosphate,,,,,TRUE
INVE101,Chloride,,,,,TRUE
INVE102,Direct Bilirubin/Total Bilirubin,,,,,TRUE
INVE103,Donor Screening for HB & AG,,,,,TRUE
INVE104,Grouping/X Matching/Unit,,,,,TRUE
INVE105,Hepatitis C screening,,,,,TRUE
INVE106,IOPA Xray,,,,,TRUE
INVE107,Magnesium,,,,,TRUE
INVE108,NA+,,,,,TRUE
INVE109,Phosphorus,,,,,TRUE
INVE10D,Barium Enema,,,,,TRUE
INVE10E,Serum Lactate Dehydrogenase (LDH),,,,,TRUE
INVE110,Platelet Count,,,,,TRUE
INVE111,Potassium,,,,,TRUE
INVE112,Renal Function Test,,,,,TRUE
INVE113,Semen Analysis,,,,,TRUE
INVE114,Total leucocyte count,,,,,TRUE
INVE115,Total Proteins Blood,,,,,TRUE
INVE116,Urine Sugar,,,,,TRUE
INVE117,VCT,,,,,TRUE
INVE118,Vitality Test,,,,,TRUE
INVE119,VLDL,,,,,TRUE
INVE11D,Barium Meal,,,,,TRUE
INVE11E,Serum Prolactin (PRL),,,,,TRUE
INVE120,WBC+Differential,,,,,TRUE
INVE122,Malaria Card Test (Dipstik assay/rapid card),,,,,TRUE
INVE123,RH Typing,,,,,TRUE
INVE124,Keratometry,,,,,TRUE
INVE125,A-scan,,,,,TRUE
INVE126,"Serum vitamin B12, and folate levels",,,,,TRUE
INVE129,Ultrasound biomicroscopy,,,,,TRUE
INVE12D,Barium Meal & Follow Through,,,,,TRUE
INVE12E,Serum Total Protein,,,,,TRUE
INVE130,Demonstration of Heinz bodies,,,,,TRUE
INVE132,Anti-streptolysin test,,,,,TRUE
INVE133,Viral serology,,,,,TRUE
INVE134,Calcium Infusion test,,,,,TRUE
INVE135,Pulmonary Function test,,,,,TRUE
INVE136,Pleural fluid analysis,,,,,TRUE
INVE137,Cancer antigen 19-9,,,,,TRUE
INVE138,Transhepatic cholangiography (PTC),,,,,TRUE
INVE139,Bone Scan,,,,,TRUE
INVE13D,Barium Swallow,,,,,TRUE
INVE13E,Serum Triglyceride,,,,,TRUE
